category,lat,lon,name,city,country,type,sector,source_type,data_collection_method,source_text,source_url,dataset_id,dataset_name,pfas_values,unit,pfas_sum,details,matrix,date,year
Measurementt,50.808932,3.352552,Maes,Zwevegem,Belgium,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""90.0""},{""cas_id"":""1763-23-1"",""unit"":""ng/l"",""substance"":""PFOS"",""isomer"":null,""less_than"":null,""value"":""40.0""}]",ng/l,130,{},Surface water,,2018
Measurement,51.016507,4.088303,Tarkett,Dendermonde,Belgium,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""200.0""}]",ng/l,200,{},Surface water,,2017
Measurement,51.042282,3.548967,Ververijen Escotex,Deinze,Belgium,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""41400.0""},{""cas_id"":""1763-23-1"",""unit"":""ng/l"",""substance"":""PFOS"",""isomer"":null,""less_than"":null,""value"":""500.0""},{""cas_id"":""307-24-4"",""unit"":""ng/l"",""substance"":""PFHxA"",""isomer"":null,""less_than"":null,""value"":""500.0""}]",ng/l,42400,{},Surface water,,2016
Measurement,51.771554,6.605953,Gerhard Van Clewe,Hamminkeln-Dingden,Germany,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""30.0""},{""cas_id"":""1763-23-1"",""unit"":""ng/l"",""substance"":""PFOS"",""isomer"":null,""less_than"":null,""value"":""20.0""}]",ng/l,50,{},Surface water,,2017
Measurement,49.590101,7.603395,KOB Karl Otto Braun,Wolfstein,Germany,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""307-24-4"",""unit"":""ng/l"",""substance"":""PFHxA"",""isomer"":null,""less_than"":null,""value"":""500.0""},{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""80.0""}]",ng/l,580,{},Surface water,,2018
Measurement,52.319134,7.228233,Rofa,Schüttorf,Germany,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""160.0""},{""cas_id"":""1763-23-1"",""unit"":""ng/l"",""substance"":""PFOS"",""isomer"":null,""less_than"":null,""value"":""10.0""}]",ng/l,170,{},Surface water,,2017
Measurement,45.585137,8.053703,Tollegno 1900,Tollegno,Italy,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""100.0""},{""cas_id"":""307-24-4"",""unit"":""ng/l"",""substance"":""PFHxA"",""isomer"":null,""less_than"":null,""value"":""30.0""}]",ng/l,130,{},Surface water,,2018
Measurement,41.407306,-8.387184,Faria & Coelho,Vila Nova de Famalicão,Poland,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""335-67-1"",""unit"":""ng/l"",""substance"":""PFOA"",""isomer"":null,""less_than"":null,""value"":""40.0""}]",ng/l,40,{},Surface water,,2018
Measurement,57.503802,12.698008,Almedahl-Kinna,Kinna,Sweden,Industrial site,Finishing of textiles,Authorities,FOI,European Commission Joint Research Center,https://drive.google.com/drive/folders/1CKxJ5Q1Q-VqctdDvvnFPM8mHPYOyj_qo,10,15 textile facilities emitting PFAS,"[{""cas_id"":""1763-23-1"",""unit"":""ng/l"",""substance"":""PFOS"",""isomer"":null,""less_than"":null,""value"":""30.2""}]",ng/l,30.2,{},Surface water,,2017
